img_id,label,is_train
pngs320H/--h5fAKYurM/00030.png,43,0
pngs320H/--h5fAKYurM/00060.png,43,0
pngs320H/--h5fAKYurM/00090.png,43,0
pngs320H/-0cOo0cRVZU/00040.png,15.0 17.0 18.0 34.0,0
pngs320H/-0cOo0cRVZU/00080.png,15.0 17.0 18.0 34.0,0
pngs320H/-0cOo0cRVZU/00120.png,15.0 17.0 18.0 34.0,0
pngs320H/-1L1Fm8QaK4/00016.png,11,0
pngs320H/-1L1Fm8QaK4/00032.png,11,0
pngs320H/-1L1Fm8QaK4/00048.png,11,0
pngs320H/-2akYw9VucA/00012.png,54.0 59.0,0
pngs320H/-2akYw9VucA/00024.png,54.0 59.0,0
pngs320H/-2akYw9VucA/00036.png,54.0 59.0,0
pngs320H/-2akYw9VucA/00048.png,54.0 59.0,0
pngs320H/-2akYw9VucA/00060.png,54,0
pngs320H/-2GEt8vi2RA/00012.png,54,0
pngs320H/-2GEt8vi2RA/00024.png,54,0
pngs320H/-2GEt8vi2RA/00036.png,54,0
pngs320H/-2GEt8vi2RA/00048.png,54,0
pngs320H/-2GEt8vi2RA/00060.png,54,0
pngs320H/-2vO7IbjuSE/00032.png,67,0
pngs320H/-2vO7IbjuSE/00064.png,67,0
pngs320H/-2vO7IbjuSE/00096.png,67,0
pngs320H/-4CdF084nIs/00040.png,67,0
pngs320H/-4CdF084nIs/00080.png,67,0
pngs320H/-4CdF084nIs/00120.png,67,0
pngs320H/-4CdF084nIs/00160.png,67,0
pngs320H/-4CdF084nIs/00200.png,67,0
pngs320H/-4K2hHSl7s4/00030.png,15.0 35.0,0
pngs320H/-4K2hHSl7s4/00060.png,15.0 35.0,0
pngs320H/-4K2hHSl7s4/00090.png,15,0
pngs320H/-4KMQsUaSAQ/00028.png,11,1
pngs320H/-4KMQsUaSAQ/00056.png,11,1
pngs320H/-4KMQsUaSAQ/00084.png,11,1
pngs320H/-54J_vTufjw/00040.png,48,0
pngs320H/-54J_vTufjw/00080.png,48,0
pngs320H/-54J_vTufjw/00120.png,48,0
pngs320H/-5bfNwGsWZA/00025.png,44,0
pngs320H/-5bfNwGsWZA/00050.png,44,0
pngs320H/-5bfNwGsWZA/00075.png,44,0
pngs320H/-5bfNwGsWZA/00100.png,44,0
pngs320H/-5bfNwGsWZA/00125.png,44,0
pngs320H/-5Ilq3kFxek/00020.png,65,0
pngs320H/-5Ilq3kFxek/00040.png,65,0
pngs320H/-5Ilq3kFxek/00060.png,65,0
pngs320H/-5Ilq3kFxek/00080.png,65,0
